No.,Height,Length,Semibalanus,Chthamalus,Greenish algae,Brownish algae,Winkles,Dogwelks,,
,,,% cover,% cover,% cover,% cover,count,count,count,count
1,0,0,7.3,8.1,3,6.6,16,0,,
2,0.4,0.94,12.4,8.6,24,16.1,9,2,,
3,0.8,1.48,1.3,11,10.5,9.6,10,2,,
4,1.2,2.33,22.5,0.2,15.8,4.2,12,0,,
5,1.6,3.57,16.6,2,24.8,7.5,10,4,,
6,2,4.57,27.5,10.2,35.9,14.5,5,5,,
7,2.4,5.66,46.1,5.2,46.9,6.7,6,2,,
8,2.8,7.03,51.8,1.2,37.8,5.8,10,4,,
9,3.2,8.55,44,3,55,0.4,8,2,,
10,3.6,10.01,42.5,12.3,48.7,11.9,10,5,,
11,4,10.86,65.4,20.2,42.5,14.3,8,4,,
12,4.4,11.69,72.1,20.8,45.7,6,9,6,,
13,4.8,13.66,68.8,8.2,51,13.5,9,3,,
14,5.2,15.47,44,7,60.4,19.4,5,7,,
15,5.6,17.46,84.9,10.6,85.5,0.3,10,1,,
16,6,19.07,91,0.6,97.1,5.4,12,8,,
17,6.4,19.61,86.7,14.2,77.8,10.3,17,11,,
18,6.8,20.46,69.8,6.1,81,5.4,9,4,,
19,7.2,21.77,93.2,3.5,70.3,10.8,11,9,,
20,7.6,22.74,74.3,16.7,92,6.4,13,11,,